date,rad,tmin,tmax,hum,wind,rain,etref,wet
1980-01-01,2530.0,-0.8,2.3,0.594468,2.6,5.800,0.3,0.092
1980-01-02,2550.0,-2.1,2.9,0.582676,1.5,0.600,0.3,0.008
1980-01-03,800.0,-6.3,0.5,0.470635,2.6,1.300,0.1,0.246
1980-01-04,400.0,-0.4,3.8,0.666533,5.1,9.100,0.0,0.400
1980-01-05,970.0,3.0,4.9,0.782227,3.6,4.200,0.1,0.279
1980-01-06,1010.0,4.0,6.3,0.836957,2.6,6.200,0.1,0.321
1980-01-07,1250.0,0.8,4.7,0.725125,2.1,0.300,0.1,0.012
1980-01-08,620.0,-0.4,3.1,0.645561,2.6,0.800,0.1,0.025
1980-01-09,1230.0,-0.4,1.0,0.573076,3.1,0.000,0.1,0.000
1980-01-10,1310.0,-1.7,0.5,0.472431,2.6,0.000,0.1,0.000
1980-01-11,520.0,-6.0,-1.4,0.365004,3.1,0.000,0.0,0.000
1980-01-12,4880.0,-7.3,-2.7,0.332196,3.6,0.000,0.4,0.000
1980-01-13,4630.0,-10.0,-1.8,0.307180,1.5,0.000,0.4,0.000
1980-01-14,2080.0,-11.0,-2.7,0.340891,2.1,0.000,0.2,0.000
1980-01-15,1620.0,-7.0,-1.8,0.395652,1.5,0.000,0.1,0.000
1980-01-16,3080.0,-4.1,-0.1,0.486942,2.6,0.000,0.3,0.000
1980-01-17,4410.0,-5.8,-0.7,0.407989,2.6,0.000,0.4,0.000
1980-01-18,4340.0,-7.4,-2.0,0.365053,3.1,0.000,0.4,0.000
1980-01-19,4130.0,-7.3,3.1,0.403998,2.6,0.000,0.4,0.000
1980-01-20,950.0,-4.1,1.6,0.497638,3.1,0.300,0.1,0.067
1980-01-21,1370.0,-0.4,4.7,0.615291,6.7,5.600,0.2,0.129
1980-01-22,1100.0,2.0,5.3,0.652495,6.2,0.900,0.1,0.108
1980-01-23,2020.0,1.8,5.0,0.703739,4.6,1.000,0.2,0.100
1980-01-24,1410.0,-0.1,3.4,0.655714,3.6,0.300,0.2,0.008
1980-01-25,2120.0,0.4,5.0,0.687573,3.1,2.000,0.2,0.021
1980-01-26,3220.0,-1.7,4.2,0.580339,2.6,0.700,0.4,0.012
1980-01-27,4640.0,-0.8,4.7,0.572741,2.1,0.500,0.5,0.004
1980-01-28,1020.0,-2.7,0.1,0.512409,2.1,3.400,0.1,0.129
1980-01-29,1480.0,-0.2,3.2,0.617771,2.1,0.100,0.2,0.008
