date,haquif
1993-01-01,-36.66
1993-03-15,-36.66
1993-04-15,-57.47
1993-06-15,-57.47
1993-07-15,-60.11
1993-09-15,-60.11
1993-10-15,-46.70
1993-12-15,-46.70
1994-01-15,-36.66
1994-03-16,-36.66
1994-04-16,-57.47
1994-06-16,-57.47
1994-07-16,-60.11
1994-09-16,-60.11
1994-10-16,-46.70
1994-12-16,-46.70
1995-01-01,-36.66
1995-03-15,-36.66
1995-04-15,-57.47
1995-06-15,-57.47
1995-07-15,-60.11
1995-09-15,-60.11
1995-10-15,-46.70
1995-12-15,-46.70
1996-01-15,-36.66
1996-03-15,-36.66
1996-04-15,-57.47
1996-06-15,-57.47
1996-07-15,-60.11
1996-09-15,-60.11
1996-10-15,-46.70
1996-12-15,-46.70
1997-01-01,-36.66
1997-03-15,-36.66
1997-04-15,-57.47
1997-06-15,-57.47
1997-07-15,-60.11
1997-09-15,-60.11
1997-10-15,-46.70
1997-12-15,-46.70
1998-01-15,-36.66
1998-03-16,-36.66
1998-04-16,-57.47
1998-06-16,-57.47
1998-07-16,-60.11
1998-09-16,-60.11
1998-10-16,-46.70
1998-12-16,-46.70
1999-01-01,-36.66
1999-03-15,-36.66
1999-04-15,-57.47
1999-06-15,-57.47
1999-07-15,-60.11
1999-09-15,-60.11
1999-10-15,-46.70
1999-12-15,-46.70
2000-01-15,-36.66
2000-03-15,-36.66
2000-04-15,-57.47
2000-06-15,-57.47
2000-07-15,-60.11
2000-09-15,-60.11
2000-10-15,-46.70
2000-12-15,-46.70
2001-01-01,-36.66
2001-03-15,-36.66
2001-04-15,-57.47
2001-06-15,-57.47
2001-07-15,-60.11
2001-09-15,-60.11
2001-10-15,-46.70
2001-12-15,-46.70
2002-01-15,-36.66
2002-03-16,-36.66
2002-04-16,-57.47
2002-06-16,-57.47
2002-07-16,-60.11
2002-09-16,-60.11
2002-10-16,-46.70
2002-12-31,-46.70
