#------------------------------------------------
# Variable : Solute concentration at 0.00 - 0.10, 0.20 - 0.30 and 0.50-0.60 m-MSL
# Unit     : mg cm-3
# Source   : Salt Farm (Gerrit van Straten en Arjen de Vos)
# Date     : 2017-02-02
# Remark   : Potatoes: Achilles
#            Vak: 26N
#------------------------------------------------
date,depth,value
2014-05-29,-5.0,0.536
2014-06-02,-5.0,5.736
2014-06-06,-5.0,3.277
2014-06-16,-5.0,6.238
2014-06-23,-5.0,6.382
2014-07-03,-5.0,6.310
2014-07-21,-5.0,6.599
2015-06-09,-5.0,0.455
2015-06-11,-5.0,3.210
2015-06-17,-5.0,3.344
2015-06-26,-5.0,3.580
2015-07-15,-5.0,3.580
2015-07-29,-5.0,3.411
2015-08-13,-5.0,3.546
2012-06-27,-25.0,0.592
2012-07-05,-25.0,5.488
2012-07-16,-25.0,3.851
2014-07-21,-25.0,6.526
2015-06-11,-25.0,0.789
2015-06-17,-25.0,0.962
2015-06-26,-25.0,2.779
2015-07-15,-25.0,4.505
2015-07-29,-25.0,4.854
2015-08-13,-25.0,3.783
2014-05-29,-55.0,0.904
2014-06-02,-55.0,1.021
2014-06-06,-55.0,3.886
2014-06-16,-55.0,5.488
2014-06-23,-55.0,6.310
2014-07-03,-55.0,6.889
2014-07-21,-55.0,6.490
2015-06-09,-55.0,0.789
2015-06-11,-55.0,0.846
2015-06-17,-55.0,0.789
2015-06-26,-55.0,2.485
2015-07-15,-55.0,3.851
