date,rad,tmin,tmax,hum,wind,rain,etref,wet
2012-01-01,1560.0,8.8,10.7,1.154110,8.0,18.000,0.2,0.283
2012-01-02,2740.0,5.9,8.9,0.840226,7.3,0.000,0.4,0.000
2012-01-03,520.0,4.9,9.0,0.804727,14.3,18.600,0.1,0.325
2012-01-04,2250.0,6.3,8.5,0.812519,12.6,4.200,0.3,0.221
2012-01-05,1470.0,4.6,9.5,0.771017,13.3,4.100,0.2,0.079
2012-01-06,2890.0,5.3,8.3,0.802882,8.3,0.600,0.4,0.021
2012-01-07,1570.0,6.7,9.0,0.907338,9.2,1.800,0.2,0.129
2012-01-08,1830.0,3.8,8.4,0.810810,6.2,0.000,0.2,0.000
2012-01-09,920.0,6.3,8.9,0.953375,5.8,1.100,0.1,0.112
2012-01-10,2430.0,4.1,8.9,0.859049,4.4,0.000,0.3,0.000
2012-01-11,1910.0,7.8,9.2,1.036897,6.3,0.800,0.3,0.062
2012-01-12,1320.0,5.3,9.6,0.844554,9.6,0.800,0.2,0.025
2012-01-13,3150.0,3.9,6.9,0.658799,6.6,0.800,0.4,0.021
2012-01-14,3470.0,0.8,7.0,0.575347,2.9,0.000,0.4,0.000
2012-01-15,3560.0,0.1,6.2,0.663686,1.7,0.000,0.4,0.000
2012-01-16,4300.0,-2.5,4.3,0.547106,1.6,0.000,0.5,0.000
2012-01-17,4250.0,-4.5,6.4,0.623773,2.8,0.000,0.5,0.000
2012-01-18,750.0,-1.9,8.2,0.757929,6.8,3.400,0.1,0.192
2012-01-19,2190.0,4.8,8.2,0.808690,7.2,3.300,0.3,0.121
2012-01-20,2940.0,3.5,6.6,0.673847,7.5,0.700,0.4,0.017
2012-01-21,2200.0,5.3,9.4,0.862514,10.6,5.300,0.3,0.283
2012-01-22,1980.0,5.4,8.6,0.819280,11.2,1.700,0.3,0.121
2012-01-23,3900.0,4.7,7.4,0.744033,6.3,0.000,0.5,0.000
2012-01-24,2230.0,0.7,6.8,0.687426,3.0,0.200,0.3,0.012
2012-01-25,2020.0,2.0,4.7,0.711776,5.1,0.000,0.2,0.000
2012-01-26,890.0,3.2,5.9,0.809234,6.3,3.300,0.1,0.246
2012-01-27,4470.0,0.7,7.6,0.729230,4.6,0.100,0.5,0.004
2012-01-28,2350.0,0.6,4.7,0.713014,2.6,0.000,0.3,0.000
2012-01-29,2180.0,-1.4,1.7,0.505679,5.3,0.000,0.2,0.000
2012-01-30,780.0,-3.1,-1.1,0.439374,5.4,0.300,0.1,0.054
2012-01-31,5690.0,-4.8,-2.1,0.345247,8.2,0.000,0.5,0.000
2012-02-01,6490.0,-5.1,-1.3,0.252533,9.8,0.000,0.6,0.000
2012-02-02,6660.0,-7.7,-3.4,0.201624,6.8,0.000,0.6,0.000
2012-02-03,3850.0,-13.9,3.1,0.383521,3.3,5.100,0.3,0.142
2012-02-04,8110.0,-17.6,-6.7,0.216328,2.3,0.000,0.5,0.000
