z,cml
-0.5,0.000
-1.5,0.000
-2.5,0.000
-3.5,0.000
-4.5,0.000
-5.5,0.000
-6.5,0.000
-7.5,0.001
-8.5,0.001
-9.5,0.001
-10.5,0.001
-11.5,0.001
-12.5,0.001
-13.5,0.001
-14.5,0.001
-15.5,0.001
-16.5,0.002
-17.5,0.002
-18.5,0.002
-19.5,0.002
-20.5,0.002
-21.5,0.003
-22.5,0.003
-23.5,0.003
-24.5,0.003
-25.5,0.004
-26.5,0.004
-27.5,0.004
-28.5,0.004
-29.5,0.005
-30.5,0.005
-31.5,0.005
-32.5,0.005
-33.5,0.006
-34.5,0.006
-35.5,0.006
-36.5,0.006
-37.5,0.007
-38.5,0.007
-39.5,0.007
-40.5,0.008
-41.5,0.008
-42.5,0.009
-43.5,0.009
-44.5,0.010
-45.5,0.010
-46.5,0.011
-47.5,0.012
-48.5,0.012
-49.5,0.013
-50.5,0.014
-51.5,0.015
-52.5,0.015
-53.5,0.016
-54.5,0.017
-55.5,0.018
-56.5,0.019
-57.5,0.020
-58.5,0.021
-59.5,0.022
-60.5,0.023
-61.5,0.024
-62.5,0.025
-63.5,0.026
-64.5,0.027
-65.5,0.029
-66.5,0.030
-67.5,0.031
-68.5,0.032
-69.5,0.033
-70.5,0.035
-71.5,0.036
-72.5,0.037
-73.5,0.039
-74.5,0.040
-75.5,0.042
-76.5,0.043
-77.5,0.045
-78.5,0.047
-79.5,0.048
-80.5,0.050
-81.5,0.052
-82.5,0.053
-83.5,0.055
-84.5,0.057
-85.5,0.059
-86.5,0.061
-87.5,0.063
-88.5,0.065
-89.5,0.067
-90.5,0.070
-91.5,0.072
-92.5,0.074
-93.5,0.076
-94.5,0.079
-95.5,0.081
-96.5,0.084
-97.5,0.087
-98.5,0.089
-99.5,0.092
-102.5,0.100
-107.5,0.113
-112.5,0.126
-117.5,0.138
-122.5,0.150
-127.5,0.162
-132.5,0.173
-137.5,0.183
-142.5,0.194
-147.5,0.204
-155.0,0.220
-165.0,0.241
-175.0,0.263
-185.0,0.284
-195.0,0.301
-205.0,0.311
-215.0,0.314
-225.0,0.312
-235.0,0.311
-245.0,0.313
-255.0,0.321
-265.0,0.336
-275.0,0.355
-285.0,0.378
-295.0,0.408
-305.0,0.450
-315.0,0.516
-325.0,0.622
-335.0,0.791
-345.0,1.049
-355.0,1.429
-365.0,1.962
-375.0,2.673
-385.0,3.575
-395.0,4.662
-405.0,5.903
-415.0,7.250
-425.0,8.636
-435.0,9.989
-445.0,11.242
-455.0,12.342
-465.0,13.260
-475.0,13.986
-485.0,14.532
-495.0,14.920
-505.0,15.182
-515.0,15.350
-525.0,15.453
-535.0,15.511
-545.0,15.543
-555.0,15.560
-565.0,15.568
-575.0,15.572
-585.0,15.573
-595.0,15.574
-605.0,15.574
-615.0,15.574
-625.0,15.574
-635.0,15.574
-645.0,15.574
-655.0,15.574
-665.0,15.574
-675.0,15.574
-685.0,15.574
-695.0,15.574
-705.0,15.574
-715.0,15.574
-725.0,15.574
-735.0,15.574
-745.0,15.574
-755.0,15.574
-765.0,15.574
-775.0,15.574
-785.0,15.574
-795.0,15.574
-805.0,15.574
-815.0,15.574
-825.0,15.574
-835.0,15.574
-845.0,15.574
-855.0,15.574
-865.0,15.574
-875.0,15.574
-885.0,15.574
-895.0,15.574
-905.0,15.574
-915.0,15.574
-925.0,15.574
-935.0,15.574
-945.0,15.574
-955.0,15.574
-965.0,15.574
-975.0,15.574
-985.0,15.574
-995.0,15.574
