z,h
-0.5,-6.01193E+01
-1.5,-5.90627E+01
-2.5,-5.80122E+01
-3.5,-5.69674E+01
-4.5,-5.59280E+01
-5.5,-5.48938E+01
-6.5,-5.38644E+01
-7.5,-5.28395E+01
-8.5,-5.18187E+01
-9.5,-5.08019E+01
-10.5,-4.97888E+01
-11.5,-4.87789E+01
-12.5,-4.77722E+01
-13.5,-4.67683E+01
-14.5,-4.57670E+01
-15.5,-4.47680E+01
-16.5,-4.37712E+01
-17.5,-4.27763E+01
-18.5,-4.17831E+01
-19.5,-4.07915E+01
-20.5,-3.98012E+01
-21.5,-3.88121E+01
-22.5,-3.78240E+01
-23.5,-3.68368E+01
-24.5,-3.58504E+01
-25.5,-3.48646E+01
-26.5,-3.38793E+01
-27.5,-3.28944E+01
-28.5,-3.19098E+01
-29.5,-3.09254E+01
-30.5,-2.99505E+01
-31.5,-2.90109E+01
-32.5,-2.80697E+01
-33.5,-2.71258E+01
-34.5,-2.61783E+01
-35.5,-2.52267E+01
-36.5,-2.42706E+01
-37.5,-2.33101E+01
-38.5,-2.23453E+01
-39.5,-2.13763E+01
-40.5,-2.04034E+01
-41.5,-1.94269E+01
-42.5,-1.84472E+01
-43.5,-1.74645E+01
-44.5,-1.64794E+01
-45.5,-1.54920E+01
-46.5,-1.45026E+01
-47.5,-1.35115E+01
-48.5,-1.25191E+01
-49.5,-1.15254E+01
-50.5,-1.05307E+01
-51.5,-9.53509E+00
-52.5,-8.53880E+00
-53.5,-7.54191E+00
-54.5,-6.54454E+00
-55.5,-5.54676E+00
-56.5,-4.54866E+00
-57.5,-3.55028E+00
-58.5,-2.55169E+00
-59.5,-1.55292E+00
-60.5,-5.54011E-01
-61.5,4.44988E-01
-62.5,1.44395E+00
-63.5,2.44285E+00
-64.5,3.44168E+00
-65.5,4.44045E+00
-66.5,5.43915E+00
-67.5,6.43778E+00
-68.5,7.43635E+00
-69.5,8.43485E+00
-70.5,9.43328E+00
-71.5,1.04317E+01
-72.5,1.14300E+01
-73.5,1.24282E+01
-74.5,1.34264E+01
-75.5,1.44245E+01
-76.5,1.54225E+01
-77.5,1.64205E+01
-78.5,1.74184E+01
-79.5,1.84162E+01
-80.5,1.94140E+01
-81.5,2.04117E+01
-82.5,2.14093E+01
-83.5,2.24069E+01
-84.5,2.34044E+01
-85.5,2.44018E+01
-86.5,2.53992E+01
-87.5,2.63965E+01
-88.5,2.73938E+01
-89.5,2.83909E+01
-90.5,2.93880E+01
-91.5,3.03851E+01
-92.5,3.13821E+01
-93.5,3.23790E+01
-94.5,3.33758E+01
-95.5,3.43726E+01
-96.5,3.53695E+01
-97.5,3.63663E+01
-98.5,3.73631E+01
-99.5,3.83600E+01
-102.5,4.13505E+01
-107.5,4.63350E+01
-112.5,5.13196E+01
-117.5,5.63044E+01
-122.5,6.12894E+01
-127.5,6.62746E+01
-132.5,7.12599E+01
-137.5,7.62454E+01
-142.5,8.12311E+01
-147.5,8.62170E+01
-155.0,9.36960E+01
-165.0,1.03669E+02
-175.0,1.13642E+02
-185.0,1.23617E+02
-195.0,1.33591E+02
-205.0,1.43567E+02
-215.0,1.53543E+02
-225.0,1.63520E+02
-235.0,1.73498E+02
-245.0,1.83477E+02
-255.0,1.93456E+02
-265.0,2.03436E+02
-275.0,2.13416E+02
-285.0,2.23398E+02
-295.0,2.33379E+02
-305.0,2.43362E+02
-315.0,2.53346E+02
-325.0,2.63330E+02
-335.0,2.73315E+02
-345.0,2.83300E+02
-355.0,2.93286E+02
-365.0,3.03273E+02
-375.0,3.13261E+02
-385.0,3.23249E+02
-395.0,3.33238E+02
-405.0,3.43228E+02
-415.0,3.53219E+02
-425.0,3.63210E+02
-435.0,3.73202E+02
-445.0,3.83194E+02
-455.0,3.93188E+02
-465.0,4.03182E+02
-475.0,4.13176E+02
-485.0,4.23172E+02
-495.0,4.33168E+02
-505.0,4.43165E+02
-515.0,4.53162E+02
-525.0,4.63161E+02
-535.0,4.73160E+02
-545.0,4.83159E+02
-555.0,4.93160E+02
-565.0,5.03161E+02
-575.0,5.13163E+02
-585.0,5.23165E+02
-595.0,5.33168E+02
-605.0,5.43172E+02
-615.0,5.53177E+02
-625.0,5.63182E+02
-635.0,5.73188E+02
-645.0,5.83195E+02
-655.0,5.93202E+02
-665.0,6.03211E+02
-675.0,6.13219E+02
-685.0,6.23229E+02
-695.0,6.33239E+02
-705.0,6.43250E+02
-715.0,6.53262E+02
-725.0,6.63274E+02
-735.0,6.73288E+02
-745.0,6.83301E+02
-755.0,6.93316E+02
-765.0,7.03331E+02
-775.0,7.13347E+02
-785.0,7.23364E+02
-795.0,7.33381E+02
-805.0,7.43399E+02
-815.0,7.53418E+02
-825.0,7.63438E+02
-835.0,7.73458E+02
-845.0,7.83479E+02
-855.0,7.93500E+02
-865.0,8.03523E+02
-875.0,8.13546E+02
-885.0,8.23569E+02
-895.0,8.33594E+02
-905.0,8.43619E+02
-915.0,8.53645E+02
-925.0,8.63671E+02
-935.0,8.73699E+02
-945.0,8.83727E+02
-955.0,8.93755E+02
-965.0,9.03785E+02
-975.0,9.13815E+02
-985.0,9.23846E+02
-995.0,9.33877E+02
