date,rad,tmin,tmax,hum,wind,rain,etref,wet
1997-01-01,4880.0,-17.9,-11.5,0.154912,3.4,0.000,0.3,0.000
1997-01-02,4600.0,-20.3,-10.0,0.151384,2.7,0.000,0.2,0.000
1997-01-03,1760.0,-13.7,-5.5,0.229017,5.5,0.000,0.1,0.000
1997-01-04,1450.0,-6.3,-3.7,0.317315,6.1,0.000,0.1,0.000
1997-01-05,2350.0,-7.9,-4.6,0.300936,3.6,0.000,0.2,0.000
1997-01-06,3590.0,-10.2,-5.8,0.278532,3.0,0.000,0.3,0.000
1997-01-07,3440.0,-7.2,-3.8,0.344043,3.3,0.000,0.3,0.000
1997-01-08,2580.0,-9.6,-6.8,0.277301,2.9,0.000,0.2,0.000
1997-01-09,2110.0,-9.8,-3.6,0.323118,3.7,0.000,0.2,0.000
1997-01-10,1300.0,-4.3,-2.8,0.382303,2.4,0.000,0.1,0.000
1997-01-11,1120.0,-7.3,-2.6,0.331901,1.8,0.000,0.1,0.000
1997-01-12,1880.0,-6.7,1.8,0.430966,3.8,0.000,0.2,0.000
1997-01-13,3820.0,1.1,5.9,0.592091,3.9,0.000,0.4,0.000
1997-01-14,3950.0,-0.2,8.2,0.392548,2.5,0.000,0.5,0.000
1997-01-15,4340.0,-6.5,5.2,0.409041,2.4,0.000,0.5,0.000
1997-01-16,5100.0,-7.6,6.8,0.432146,1.8,0.000,0.5,0.000
1997-01-17,4430.0,-5.7,9.5,0.444756,3.3,0.000,0.5,0.000
1997-01-18,740.0,3.6,6.2,0.755615,3.4,0.000,0.1,0.000
1997-01-19,900.0,0.5,3.8,0.689569,2.3,0.300,0.1,0.037
1997-01-20,1670.0,0.6,4.0,0.709361,1.5,0.200,0.2,0.017
1997-01-21,1280.0,-3.8,2.3,0.562204,2.7,0.000,0.1,0.000
1997-01-22,2200.0,0.2,9.9,0.733395,3.8,0.000,0.3,0.000
1997-01-23,2170.0,-1.8,7.5,0.718634,2.9,0.000,0.3,0.000
1997-01-24,3460.0,-0.4,9.5,0.759717,1.4,1.100,0.4,0.096
1997-01-25,2020.0,-1.5,1.7,0.618943,1.6,0.000,0.2,0.000
1997-01-26,2050.0,-6.1,1.8,0.489266,2.9,0.000,0.2,0.000
1997-01-27,1540.0,-6.4,0.0,0.456085,1.5,0.000,0.1,0.000
1997-01-28,1400.0,-2.0,3.0,0.635011,2.2,0.000,0.2,0.000
1997-01-29,1310.0,0.6,2.4,0.678415,2.0,0.000,0.1,0.000
1997-01-30,840.0,0.0,2.9,0.677841,1.5,0.000,0.1,0.000
1997-01-31,1870.0,-1.4,4.6,0.619192,2.5,0.500,0.2,0.071
1997-02-01,4230.0,-4.9,3.3,0.451402,1.8,0.000,0.4,0.000
1997-02-02,5670.0,-2.6,3.4,0.525063,2.9,0.000,0.6,0.000
1997-02-03,2220.0,0.0,3.7,0.671674,3.2,0.100,0.2,0.021
1997-02-04,1160.0,0.3,6.2,0.711969,7.7,2.600,0.1,0.217
1997-02-05,3020.0,0.4,6.5,0.711276,2.9,4.900,0.4,0.317
